Input,Output
0,Fail
1,Fail
2,Fail
3,Fail
4,Fail
5,Fail
6,Fail
7,Fail
8,Fail
9,Fail
10,Fail
11,Fail
12,Fail
13,Fail
14,Fail
15,Fail
16,Fail
17,Fail
18,Fail
19,Fail
20,Fail
21,Fail
22,Fail
23,Fail
24,Fail
25,Fail
26,Fail
27,Fail
28,Fail
29,Fail
30,Fail
31,Fail
32,Fail
33,Fail
34,Fail
35,Fail
36,Pass
37,Pass
38,Pass
39,Pass
40,Pass
41,Pass
42,Pass
43,Pass
44,Pass
45,Pass
46,Pass
47,Pass
48,Pass
49,Pass
50,Pass
51,Pass
52,Pass
53,Pass
54,Pass
55,Pass
56,Pass
57,Pass
58,Pass
59,Pass
60,Pass
61,Pass
62,Pass
63,Pass
64,Pass
65,Pass
66,Pass
67,Pass
68,Pass
69,Pass
70,Pass
71,Pass
72,Pass
73,Pass
74,Pass
75,Pass
76,Pass
77,Pass
78,Pass
79,Pass
80,Pass
81,Pass
82,Pass
83,Pass
84,Pass
85,Pass
86,Pass
87,Pass
88,Pass
89,Pass
90,Pass
91,Pass
92,Pass
93,Pass
94,Pass
95,Pass
96,Pass
97,Pass
98,Pass
99,Pass
100,Pass
asdfghjkl,Invalid Input
qwertyuiop,Invalid Input
zxcvbnm,Invalid Input
ASDFGHJKL,Invalid Input
QWERTYUIOP,Invalid Input
"ZXCVBNM,",Invalid Input
A,Invalid Input
B,Invalid Input
C,Invalid Input
D,Invalid Input
E,Invalid Input
F,Invalid Input
G,Invalid Input
H,Invalid Input
I,Invalid Input
J,Invalid Input
K,Invalid Input
L,Invalid Input
M,Invalid Input
N,Invalid Input
O,Invalid Input
P,Invalid Input
Q,Invalid Input
R,Invalid Input
S,Invalid Input
T,Invalid Input
U,Invalid Input
V,Invalid Input
W,Invalid Input
X,Invalid Input
Y,Invalid Input
Z,Invalid Input
a,Invalid Input
b,Invalid Input
c,Invalid Input
d,Invalid Input
e,Invalid Input
f,Invalid Input
g,Invalid Input
h,Invalid Input
i,Invalid Input
j,Invalid Input
k,Invalid Input
l,Invalid Input
m,Invalid Input
n,Invalid Input
o,Invalid Input
p,Invalid Input
q,Invalid Input
r,Invalid Input
s,Invalid Input
t,Invalid Input
u,Invalid Input
v,Invalid Input
w,Invalid Input
x,Invalid Input
y,Invalid Input
z,Invalid Input
Animal ,Invalid Input
NAME,Invalid Input
